0000  code0488        -1, 1
000E  code046d        0, 192
001C  code043e        0, 6, 0
0030  walkto          0, ($h128 - 16), ($h129 + 16), 1
0056  walkwait        0
005E  code043e        0, 3, 0
0072  code043c        0, 4
0080  code046d        0, 192
008E  code048b        80, 336, 24
00A2  code0490        0
00AA  code043d        1, $h128, $h129
00BE  code043c        1, 1
00CC  code043e        1, 3, 0
00E0  code0438        2, 130, 547, 1
00FA  code043a        2, 2, 0
010E  code043d        2, $h128, $h129
0122  code043c        2, 2
0130  code043e        2, 6, 0
0144  walkto          2, ($h128 + 16), ($h129 - 16), 1
016A  code043e        1, 6, 0
017E  walkto          1, ($h128 + 32), $h129, 1
019E  walkwait        2
01A6  code043e        2, 3, 0
01BA  code043c        2, 1
01C8  walkwait        1
01D0  code043e        1, 3, 0
01E4  code043c        1, 2
01F2  code048c        
01F4  code0478        0, 0
0202  code0479        0, 5, 17
0216  code047d        0, 0
0224  code0478        1, 2
0232  jumpz           0x025a, ($b003 == 0)
0242  code0479        1, 0, 12
0256  goto            0x02c2

025A  jumpz           0x0282, ($b003 == 1)
026A  code0479        1, 0, 14
027E  goto            0x02c2

0282  jumpz           0x02aa, ($b003 == 2)
0292  code0479        1, 0, 16
02A6  goto            0x02c2

02AA  code0479        1, 5, 14
02BE  goto            0x02c2

02C2  code047d        1, 2
02D0  call            0x194c
02D4  call            0x1848
02D8  jumpz           0x0320, ($b002 == 0)
02E8  dialogtxt       "へぇ！"
02F2  dialogtxt       "こんな場所に出るのか…"
030C  dialogtxt       "おどろいた…"
031C  goto            0x0358

0320  dialogtxt       "わっ！"
032A  dialogtxt       "こんな場所に出るんだ…"
0344  dialogtxt       "おどろいた…"
0354  goto            0x0358

0358  code047b        
035A  code0309        
035C  call            0x189c
0360  jumpz           0x0388, ($b003 == 0)
0370  code0479        1, 0, 12
0384  goto            0x03f0

0388  jumpz           0x03b0, ($b003 == 1)
0398  code0479        1, 0, 14
03AC  goto            0x03f0

03B0  jumpz           0x03d8, ($b003 == 2)
03C0  code0479        1, 0, 12
03D4  goto            0x03f0

03D8  code0479        1, 0, 16
03EC  goto            0x03f0

03F0  call            0x18d2
03F4  jumpz           0x057a, ($b003 == 0)
0404  dialogtxt       "デハ　コレカラ"
0416  dialogtxt       "ドコニ　向カイマスカ？"
0430  code0309        
0432  call            0x1908
0436  code0479        0, 0, 16
044A  call            0x1866
044E  jumpz           0x04aa, ($b002 == 0)
045E  dialogtxt       "どこって…"
046C  dialogtxt       "ミューノの村じゃないのか？"
048A  dialogtxt       "魔石を戻しに行くんだろ？"
04A6  goto            0x04f6

04AA  dialogtxt       "どこって…"
04B8  dialogtxt       "ミューノの村じゃないの？"
04D4  dialogtxt       "魔石を戻しに行くんでしょ？"
04F2  goto            0x04f6

04F6  code0309        
04F8  call            0x189c
04FC  code0479        1, 0, 12
0510  call            0x18d2
0514  dialogtxt       "あにすノ仲間ノコトモ　アリマス"
0536  dialogtxt       "ウカツニ村ニ　近ヅクコトハ"
0554  dialogtxt       "サケタホウガ良イト　思ワレマス"
0576  goto            0x057a

057A  jumpz           0x06dc, ($b003 == 1)
058A  dialogtxt       "さて"
0592  dialogtxt       "これからドコへ向かうのじゃ？"
05B2  code0309        
05B4  call            0x1908
05B8  code0479        0, 0, 16
05CC  call            0x1866
05D0  jumpz           0x062c, ($b002 == 0)
05E0  dialogtxt       "どこって…"
05EE  dialogtxt       "ミューノの村じゃないのか？"
060C  dialogtxt       "魔石を戻しに行くんだろ？"
0628  goto            0x0678

062C  dialogtxt       "どこって…"
063A  dialogtxt       "ミューノの村じゃないの？"
0656  dialogtxt       "魔石を戻しに行くんでしょ？"
0674  goto            0x0678

0678  code0309        
067A  call            0x189c
067E  code0479        1, 2, 14
0692  call            0x18d2
0696  dialogtxt       "その前に魔石を狙う"
06AC  dialogtxt       "アニスたちを"
06BC  dialogtxt       "何とかしなくてはならんぞ"
06D8  goto            0x06dc

06DC  jumpz           0x0838, ($b003 == 2)
06EC  dialogtxt       "で"
06F2  dialogtxt       "これからどうするつもりなんだ？"
0714  code0309        
0716  call            0x1908
071A  code0479        0, 0, 16
072E  call            0x1866
0732  jumpz           0x0792, ($b002 == 0)
0742  dialogtxt       "どうするって…"
0754  dialogtxt       "ミューノの村じゃないのか？"
0772  dialogtxt       "魔石を戻しに行くんだろ？"
078E  goto            0x07e2

0792  dialogtxt       "どうするって…"
07A4  dialogtxt       "ミューノの村じゃないの？"
07C0  dialogtxt       "魔石を戻しに行くんでしょ？"
07DE  goto            0x07e2

07E2  code0309        
07E4  call            0x189c
07E8  code0479        1, 4, 14
07FC  call            0x18d2
