0000  code0332        
0002  code046e        31, 256, 1
0016  code0478        1, 2
0024  jumpz           0x004c, ($b003 == 0)
0034  code0479        1, 0, 12
0048  goto            0x00b4

004C  jumpz           0x0074, ($b003 == 1)
005C  code0479        1, 3, 14
0070  goto            0x00b4

0074  jumpz           0x009c, ($b003 == 2)
0084  code0479        1, 3, 14
0098  goto            0x00b4

009C  code0479        1, 2, 14
00B0  goto            0x00b4

00B4  code047d        1, 2
00C2  code0478        0, 0
00D0  code0479        0, 5, 17
00E4  code047d        0, 0
00F2  call            0x10ba
00F6  call            0x0fb6
00FA  jumpz           0x0148, ($b002 == 0)
010A  dialogtxt       "おちつけよ！"
011A  dialogtxt       "だからゴカイだって"
0130  dialogtxt       "言ってるだろ！？"
0144  goto            0x018a

0148  dialogtxt       "おちついてよ！"
015A  dialogtxt       "だからゴカイだって"
0170  dialogtxt       "言ってるでしょ！？"
0186  goto            0x018a

018A  code047b        
018C  code0309        
018E  call            0x10e4
0192  call            0x100a
0196  code0478        0, 6
01A4  code0479        0, 4, 15
01B8  code047d        0, 107
01C6  call            0x108e
01CA  code0479        0, 0, 12
01DE  call            0x0fd4
01E2  dialogtxt       "止めて、γ"
01F0  dialogtxt       "私、δに剣の"
0200  dialogtxt       "使い方を教わっていて…"
021A  code047b        
021C  code0309        
021E  call            0x100a
0222  jumpz           0x024a, ($b003 == 0)
0232  code0479        1, 5, 12
0246  goto            0x02b2

024A  jumpz           0x0272, ($b003 == 1)
025A  code0479        1, 5, 16
026E  goto            0x02b2

0272  jumpz           0x029a, ($b003 == 2)
0282  code0479        1, 5, 16
0296  goto            0x02b2

029A  code0479        1, 5, 16
02AE  goto            0x02b2

02B2  call            0x1040
02B6  jumpz           0x02de, ($b003 == 0)
02C6  dialogtxt       "剣ノ　使イ方…？"
02DA  goto            0x02de

02DE  jumpz           0x030a, ($b003 == 1)
02EE  dialogtxt       "剣の使い方じゃと…？"
0306  goto            0x030a

030A  jumpz           0x0334, ($b003 == 2)
031A  dialogtxt       "剣の使い方だと…？"
0330  goto            0x0334

0334  jumpz           0x0360, ($b003 == 3)
0344  dialogtxt       "剣の使い方ですか…？"
035C  goto            0x0360

0360  code0309        
0362  call            0x10e4
0366  call            0x1076
036A  code047b        
036C  code0478        0, 0
037A  code0479        0, 2, 16
038E  code047d        0, 0
039C  call            0x108e
03A0  call            0x0fd4
03A4  dialogtxt       "だから…"
03B0  code0309        
03B2  call            0x1110
03B6  call            0x0ff2
03BA  code047b        
03BC  code048f        280
03C4  code0488        -1, 1
03D2  code048b        $h216, ($h217 - 80), 16
03EC  setvar          0x0002, 0x00c8, 0
03F8  setvar          0x0002, 0x00c9, 60
0404  call            0x0a32
0408  code048c        
040A  code040d        60
0412  code048b        $h216, $h217, 16
0426  setvar          0x0002, 0x00c8, 0
0432  setvar          0x0002, 0x00c9, 60
043E  call            0x0a72
0442  code048c        
0444  code0445        1, 7
0452  code0446        1
045A  jumpz           0x0482, ($b003 == 0)
046A  code0479        1, 4, 12
047E  goto            0x04ea

0482  jumpz           0x04aa, ($b003 == 1)
0492  code0479        1, 4, 14
04A6  goto            0x04ea

04AA  jumpz           0x04d2, ($b003 == 2)
04BA  code0479        1, 4, 12
04CE  goto            0x04ea

04D2  code0479        1, 4, 14
04E6  goto            0x04ea

04EA  call            0x10ba
04EE  call            0x1022
04F2  jumpz           0x0532, ($b003 == 0)
0502  dialogtxt       "ソウデシタカ…"
0514  dialogtxt       "ジャマシテ　スミマセン"
052E  goto            0x0532

0532  jumpz           0x0572, ($b003 == 1)
0542  dialogtxt       "そうじゃったのか…"
0558  dialogtxt       "ジャマしてすまんの"
056E  goto            0x0572

0572  jumpz           0x05b8, ($b003 == 2)
0582  dialogtxt       "そう、だったのか…"
0598  dialogtxt       "じゃあ、私に用はないな…"
05B4  goto            0x05b8

05B8  jumpz           0x05f6, ($b003 == 3)
05C8  dialogtxt       "そうでしたか…"
05DA  dialogtxt       "ジャマしてすみません"
05F2  goto            0x05f6

05F6  code0309        
05F8  call            0x1110
05FC  call            0x105e
0600  code047b        
0602  code043c        1, 1
0610  code0445        0, 15
061E  code0446        0
0626  code0479        0, 4, 14
063A  call            0x108e
063E  call            0x0fb6
0642  dialogtxt       "γ…"
064A  code047b        
064C  code0309        
064E  call            0x10e4
0652  call            0x0ff2
0656  code047b        
0658  code0478        1, 6
0666  code0479        1, 0, 12
067A  code047d        1, 107
0688  call            0x10a4
068C  call            0x1022
0690  dialogtxt       "いいの、γ"
069E  dialogtxt       "γもいっしょに練習しない？"
06BC  code047b        
06BE  code0309        
06C0  call            0x1076
06C4  code043c        1, 3
06D2  code0478        0, 2
06E0  jumpz           0x0708, ($b003 == 0)
06F0  code0479        0, 5, 12
0704  goto            0x0770

0708  jumpz           0x0730, ($b003 == 1)
0718  code0479        0, 5, 12
072C  goto            0x0770

0730  jumpz           0x0758, ($b003 == 2)
0740  code0479        0, 5, 12
0754  goto            0x0770

0758  code0479        0, 5, 12
076C  goto            0x0770

0770  code047d        0, 2
077E  call            0x108e
0782  call            0x0fd4
0786  jumpz           0x07b8, ($b003 == 0)
0796  dialogtxt       "みゅーの様"
07A4  dialogtxt       "イイノデスカ"
07B4  goto            0x07b8

07B8  jumpz           0x07e8, ($b003 == 1)
07C8  dialogtxt       "良いのか？"
07D6  dialogtxt       "ミューノよ"
07E4  goto            0x07e8

07E8  jumpz           0x0806, ($b003 == 2)
07F8  dialogtxt       "なに？"
0802  goto            0x0806

0806  jumpz           0x0838, ($b003 == 3)
0816  dialogtxt       "ミューノ様"
0824  dialogtxt       "いいのですか"
0834  goto            0x0838

0838  code047b        
083A  code0309        
083C  call            0x10e4
0840  call            0x100a
0844  code047b        
0846  code0479        1, 0, 13
085A  code0478        0, 0
0868  code0479        0, 0, 12
087C  code047d        0, 0
088A  call            0x108e
088E  code043c        2, 2
089C  call            0x1040
08A0  dialogtxt       "いいわよね"
08AE  dialogtxt       "δ？"
08B6  code047b        
08B8  code0309        
08BA  call            0x1076
08BE  code043c        0, 4
08CC  code0479        0, 0, 13
08E0  call            0x0fd4
08E4  jumpz           0x091c, ($b002 == 0)
08F4  dialogtxt       "もちろん！"
0902  dialogtxt       "みんなでやろうぜ！"
0918  goto            0x0942

091C  dialogtxt       "もちろん！"
092A  dialogtxt       "みんなでやろう！"
093E  goto            0x0942

0942  code0309        
0944  call            0x100a
0948  code0479        1, 1, 12
095C  call            0x1040
0960  dialogtxt       "ありがとう、δ"
0972  code0309        
0974  call            0x1110
0978  call            0x105e
097C  code047b        
097E  code047f        223
0986  code0480        1, 1, 0, 0
09A0  code0481        1
09A8  code0482        
09AA  code040d        15
09B2  code047d        0, 107
09C0  code0301        16, 7
09CE  code047e        0, 1
09DC  dialogtxt       "今日のことは…"
09EE  dialogtxt       "忘れないから…"
0A00  code0309        
0A02  code047e        0, 0
0A10  code0302        7
0A18  code040d        15
0A20  code0481        0
0A28  code040d        1
0A30  done            

0A32  code031a        7
0A3A  code031b        7, -1, -1, $h136, $h137
0A5A  code031c        7, 1
0A68  code031f        7
0A70  ret             

0A72  code031b        7, -1, -1, $h136, $h137
0A92  code031c        7, 2
0AA0  code031f        7
0AA8  code031a        7
0AB0  ret             

0AB2  code031a        7
0ABA  code031b        7, (-1 - $h139), $h140, $h136, $h137
0AE0  code031c        7, 1
0AEE  code031f        7
0AF6  ret             

0AF8  code031a        6
0B00  code031b        6, $h139, 0, $h136, $h137
0B20  code031c        6, 1
0B2E  code031f        6
0B36  ret             

0B38  code031b        7, (-1 - $h139), $h140, $h136, $h137
0B5E  code031c        7, 2
0B6C  code031f        7
0B74  code031a        7
0B7C  ret             

0B7E  code031b        6, $h139, 0, $h136, $h137
0B9E  code031c        6, 2
0BAC  code031f        6
0BB4  code031a        6
0BBC  ret             

0BBE  code031a        7
0BC6  code031b        7, -1, -1, $h141, $h137
0BE6  code031c        7, 1
0BF4  code040d        15
0BFC  code031a        6
0C04  code031b        6, -1, -1, $h136, $h137
0C24  code031c        6, 1
0C32  code031f        6
0C3A  code031a        7
0C42  code031b        6, -1, -1, $h136, ($h137 / 2)
0C68  code031c        6, 2
0C76  code031f        6
0C7E  code031a        6
0C86  ret             

0C88  code031a        7
0C90  code031b        7, -1, -1, $h141, $h137
0CB0  code031c        7, 1
0CBE  code040d        15
0CC6  code031a        6
0CCE  code031b        6, -1, -1, $h136, $h137
0CEE  code031c        6, 1
0CFC  code031f        6
0D04  code031a        7
0D0C  ret             

0D0E  code031b        6, -1, -1, $h136, ($h137 / 2)
0D34  code031c        6, 2
0D42  code031f        6
0D4A  code031a        6
0D52  ret             

