0000  code0488        -1, 1
000E  code040d        15
0016  code046d        0, 192
0024  code043e        0, 6, 0
0038  walkto          0, ($h128 - 8), $h129, 1
0058  walkwait        0
0060  code043e        0, 3, 0
0074  code043c        0, 1
0082  code040d        15
008A  code0491        0
0092  setvar          0x0003, 0x0000, 1
009E  code040d        30
00A6  code043c        0, 2
00B4  code040d        30
00BC  code043c        0, 4
00CA  code040d        30
00D2  code043c        0, 3
00E0  code040d        30
00E8  code043c        0, 1
00F6  code040d        30
00FE  code0445        0, 15
010C  code0446        0
0114  code040d        30
011C  code0478        0, 0
012A  code0479        0, 2, 16
013E  code047d        0, 0
014C  code0478        1, 2
015A  jumpz           0x0182, ($b003 == 0)
016A  code0479        1, 0, 12
017E  goto            0x01ea

0182  jumpz           0x01aa, ($b003 == 1)
0192  code0479        1, 0, 12
01A6  goto            0x01ea

01AA  jumpz           0x01d2, ($b003 == 2)
01BA  code0479        1, 0, 12
01CE  goto            0x01ea

01D2  code0479        1, 0, 12
01E6  goto            0x01ea

01EA  code047d        1, 2
01F8  call            0x15d0
01FC  call            0x14f8
0200  jumpz           0x0258, ($b002 == 0)
0210  dialogtxt       "ここ…、なのか？"
0224  dialogtxt       "さっきとあんまり"
0238  dialogtxt       "変わんないみたいだけど…"
0254  goto            0x029e

0258  dialogtxt       "ここ…、なの？"
026A  dialogtxt       "さっきとあんまり"
027E  dialogtxt       "変わらないみたいだけど…"
029A  goto            0x029e

029E  code047b        
02A0  code0309        
02A2  call            0x154c
02A6  call            0x15e6
02AA  jumpz           0x02d2, ($b003 == 0)
02BA  code0479        1, 0, 12
02CE  goto            0x033a

02D2  jumpz           0x02fa, ($b003 == 1)
02E2  code0479        1, 2, 16
02F6  goto            0x033a

02FA  jumpz           0x0322, ($b003 == 2)
030A  code0479        1, 2, 12
031E  goto            0x033a

0322  code0479        1, 4, 16
0336  goto            0x033a

033A  call            0x1582
033E  jumpz           0x05f2, ($b003 == 0)
034E  dialogtxt       "周囲ノ波動ガ　カナリ強クナッテイマス"
0376  dialogtxt       "波動ノ原因ニ　近ヅイテイルタメト"
039A  dialogtxt       "思ワレマス"
03A8  code047b        
03AA  code0309        
03AC  call            0x15b8
03B0  code0479        0, 0, 14
03C4  call            0x1516
03C8  jumpz           0x0432, ($b002 == 0)
03D8  dialogtxt       "そういえば、ここ…"
03EE  dialogtxt       "幻龍鬼とかマグドラドがいた"
040C  dialogtxt       "ルイーズ村の迷宮に、似てるな…"
042E  goto            0x048c

0432  dialogtxt       "そういえば、ここ…"
0448  dialogtxt       "幻龍鬼とかマグドラドがいた"
0466  dialogtxt       "ルイーズ村の迷宮に、似てるね…"
0488  goto            0x048c

048C  code0309        
048E  call            0x154c
0492  code0479        1, 0, 12
04A6  call            0x1582
04AA  dialogtxt       "タシカニ"
04B6  dialogtxt       "何カ　関係ガ　アルノカモ"
04D2  dialogtxt       "シレマセン"
04E0  code0309        
04E2  call            0x15b8
04E6  code043c        0, 4
04F4  code0479        0, 2, 15
0508  call            0x1516
050C  jumpz           0x056a, ($b002 == 0)
051C  dialogtxt       "よくわからないけど"
0532  dialogtxt       "とにかく前へ進むぞ！"
054A  dialogtxt       "ミューノを取り返すんだ！"
0566  goto            0x05b8

056A  dialogtxt       "よくわからないけど"
0580  dialogtxt       "とにかく前へ進もう！"
0598  dialogtxt       "ミューノを取り返すのよ！"
05B4  goto            0x05b8

05B8  code0309        
05BA  call            0x154c
05BE  code043c        1, 2
05CC  code0479        1, 5, 12
05E0  call            0x1582
05E4  dialogtxt       "オー！"
05EE  goto            0x05f2

05F2  jumpz           0x0918, ($b003 == 1)
0602  dialogtxt       "イヤな気配が強くなっておる"
0620  dialogtxt       "並の召喚獣ならカンタンに"
063C  dialogtxt       "おかしくなっておるじゃろう"
065A  code047b        
065C  code0309        
065E  code0479        1, 2, 14
0672  dialogtxt       "これほどのものだ"
0686  dialogtxt       "原因に近づいておると考えても"
06A6  dialogtxt       "まちがいあるまいて"
06BC  code0309        
06BE  call            0x15b8
06C2  code0479        0, 0, 14
06D6  call            0x1516
06DA  jumpz           0x0744, ($b002 == 0)
06EA  dialogtxt       "そういえば、ここ…"
0700  dialogtxt       "幻龍鬼とかマグドラドがいた"
071E  dialogtxt       "ルイーズ村の迷宮に、似てるな…"
0740  goto            0x079e

0744  dialogtxt       "そういえば、ここ…"
075A  dialogtxt       "幻龍鬼とかマグドラドがいた"
0778  dialogtxt       "ルイーズ村の迷宮に、似てるね…"
079A  goto            0x079e

079E  code0309        
07A0  call            0x154c
07A4  code0479        1, 2, 12
07B8  call            0x1582
07BC  dialogtxt       "ほう、気が付いたか"
07D2  dialogtxt       "こことあの場所には"
07E8  dialogtxt       "何か関係あるのかもしれぬな"
0806  code0309        
0808  call            0x15b8
080C  code043c        0, 4
081A  code0479        0, 2, 15
082E  call            0x1516
0832  jumpz           0x0890, ($b002 == 0)
0842  dialogtxt       "よくわからないけど"
