; Beast names (may be shown outside dictionary / bestiary section.)
table 0x08B72234 + 0, 120, 18
tabletxt 0, "Player" ; "プレイヤ"
tabletxt 1, "V.E" ; "ヴィー"
tabletxt 2, "Man" ; "男"
tabletxt 3, "Man" ; "男"
tabletxt 4, "Lemmy" ; "レミィ"
tabletxt 5, "Serj" ; "サージ"
tabletxt 6, "Jade" ; "ジェイド"
tabletxt 7, "V.E" ; "ヴィー"
tabletxt 8, "Tier" ; "ティエ"
tabletxt 9, "Soldier A" ; "戦士Ａ"
tabletxt 10, "Soldier B" ; "戦士Ｂ"
tabletxt 11, "Man A" ; "男Ａ"
tabletxt 12, "Man B" ; "男Ｂ"
tabletxt 13, "Pike" ; "パイク"
tabletxt 14, "Gillan" ; "ギラン"
tabletxt 15, "Anise" ; "アニス"
tabletxt 16, "Tier" ; "ティエ"
tabletxt 17, "V.E" ; "ヴィー"
tabletxt 18, "Jade" ; "ジェイド"
tabletxt 19, "[NAME 0]" ; "[NAME 0]"
tabletxt 20, "[NAME 0]" ; "[NAME 0]"
tabletxt 21, "Tram" ; "トラム"
tabletxt 22, "Lemmy" ; "レミィ"
tabletxt 23, "Soldier A" ; "戦士Ａ"
tabletxt 24, "Soldier B" ; "戦士Ｂ"
tabletxt 25, "Soldier C" ; "戦士Ｃ"
tabletxt 26, "Pike" ; "パイク"
tabletxt 27, "Gillan" ; "ギラン"
tabletxt 28, "Anise" ; "アニス"
tabletxt 29, "Jade" ; "ジェイド"
tabletxt 30, "V.E" ; "ヴィー"
tabletxt 31, "Lemmy" ; "レミィ"
tabletxt 32, "Tier" ; "ティエ"
tabletxt 33, "Soldier A" ; "戦士Ａ"
tabletxt 34, "Soldier B" ; "戦士Ｂ"
tabletxt 35, "Pike" ; "パイク"
tabletxt 36, "Gillan" ; "ギラン"
tabletxt 37, "Anise" ; "アニス"
tabletxt 38, "Bostaph" ; "ボスタフ"
tabletxt 39, "Velworen" ; "ベルヴォレン"
tabletxt 40, "Lemmy" ; "レミィ"
tabletxt 41, "V.E" ; "ヴィー"
tabletxt 42, "Jade" ; "ジェイド"
tabletxt 43, "Tier" ; "ティエ"
tabletxt 44, "Anise" ; "アニス"
tabletxt 45, "Rob" ; "ロブ"
tabletxt 46, "Murno" ; "ミューノ"
tabletxt 47, "Gillan" ; "ギラン"
tabletxt 48, "Pike" ; "パイク"
tabletxt 49, "Tram" ; "トラム"
tabletxt 50, "Bostaph" ; "ボスタフ"
tabletxt 51, "Soldier" ; "戦士"
tabletxt 52, "Serj" ; "サージ"
tabletxt 53, "Ritchburn" ; "リッチバーン"
tabletxt 54, "Rifmonica" ; "リフモニカ"
tabletxt 55, "Ritchburn" ; "リッチバーン"
tabletxt 56, "Rifmonica" ; "リフモニカ"
tabletxt 57, "無" ; "無"
tabletxt 58, "無" ; "無"
tabletxt 59, "無" ; "無"
tabletxt 60, "無" ; "無"
tabletxt 61, "無" ; "無"
tabletxt 62, "無" ; "無"
tabletxt 63, "無" ; "無"
tabletxt 64, "無" ; "無"
tabletxt 65, "無" ; "無"
tabletxt 66, "無" ; "無"
tabletxt 67, "無" ; "無"
tabletxt 68, "無" ; "無"
tabletxt 69, "無" ; "無"
tabletxt 70, "無" ; "無"
tabletxt 71, "無" ; "無"
tabletxt 72, "無" ; "無"
tabletxt 73, "無" ; "無"
tabletxt 74, "無" ; "無"
tabletxt 75, "無" ; "無"
tabletxt 76, "無" ; "無"
tabletxt 77, "無" ; "無"
tabletxt 78, "無" ; "無"
tabletxt 79, "無" ; "無"
tabletxt 80, "無" ; "無"
tabletxt 81, "無" ; "無"
tabletxt 82, "無" ; "無"
tabletxt 83, "無" ; "無"
tabletxt 84, "無" ; "無"
tabletxt 85, "無" ; "無"
tabletxt 86, "無" ; "無"
tabletxt 87, "無" ; "無"
tabletxt 88, "無" ; "無"
tabletxt 89, "無" ; "無"
tabletxt 90, "無" ; "無"
tabletxt 91, "無" ; "無"
tabletxt 92, "無" ; "無"
tabletxt 93, "無" ; "無"
tabletxt 94, "無" ; "無"
tabletxt 95, "無" ; "無"
tabletxt 96, "無" ; "無"
tabletxt 97, "無" ; "無"
tabletxt 98, "無" ; "無"
tabletxt 99, "無" ; "無"
tabletxt 100, "Slime" ; "スライム"
tabletxt 101, "Boulderdillo" ; "イワマジロ"
tabletxt 102, "Spinner" ; "スピナー"
tabletxt 103, "Hopdog" ; "トビイヌ"
tabletxt 104, "Escaroo" ; "エスカルー"
tabletxt 105, "Strawboy" ; "ワラニン"
tabletxt 106, "Megaphone" ; "メガフォン"
tabletxt 107, "Crystanare" ; "クリオネア"
tabletxt 108, "Bugball" ; "バグボール"
tabletxt 109, "Gazaille" ; "ガゼール"
tabletxt 110, "Giant Bee" ; "ビービート"
tabletxt 111, "Dynabeetle" ; "カブト"
tabletxt 112, "Striker" ; "空撃"
tabletxt 113, "Wolgan" ; "ウルガン"
tabletxt 114, "Skullbear" ; "ドクロビースト"
tabletxt 115, "Popper" ; "ピッカー"
tabletxt 116, "Aquanare" ; "ゾリムゥ"
tabletxt 117, "Cutter" ; "スピンカッター"
tabletxt 118, "Gremlin" ; "小鬼"
tabletxt 119, "Cuckoo" ; "コッカー"
tabletxt 120, "Kero Ninja" ; "ケロニン"
tabletxt 121, "Defender" ; "防衛兵器"
tabletxt 122, "Triscissor" ; "トライシザー"
tabletxt 123, "Jelly Slime" ; "ジェムスライム"
tabletxt 124, "Sasami" ; "ササミー"
tabletxt 125, "Rock Rat" ; "ロックラット"
tabletxt 126, "Cattan" ; "キャタン"
tabletxt 127, "Gunnerhead" ; "ガンナー"
tabletxt 128, "Biting Dog" ; "カミイヌ"
tabletxt 129, "Red Pincher" ; "オオアカ切断虫"
tabletxt 130, "Yasha Spider" ; "ヤシャグモ"
tabletxt 131, "Pumpkeeno" ; "パンプキーノ"
tabletxt 132, "Jumper" ; "ジャンパー"
tabletxt 133, "Snairoo" ; "タニダン"
tabletxt 134, "Titanper" ; "タイタンパ"
tabletxt 135, "Kero Oyabun" ; "ケロガシラ"
tabletxt 136, "Hangball" ; "トラップラー"
tabletxt 137, "Boulderhide" ; "ロックスキン"
tabletxt 138, "Killer Bee" ; "キラービート"
tabletxt 139, "Red Gremlin" ; "怪童子"
tabletxt 140, "Beetle" ; "ビートル"
tabletxt 141, "Scorpio" ; "スコルピオ"
tabletxt 142, "Hound" ; "ハウンド"
tabletxt 143, "Greezly" ; "アバレビースト"
tabletxt 144, "Clobber Rex" ; "ガブレックス"
tabletxt 145, "Brute Monk" ; "重鬼"
tabletxt 146, "Magikeeno" ; "カボチャード"
tabletxt 147, "Dritan" ; "ドリタン"
tabletxt 148, "Maizaille" ; "カングール"
tabletxt 149, "Duston" ; "ダストン"
tabletxt 150, "Mud Boxer" ; "ハンドスライム"
tabletxt 151, "Speaker" ; "スピークァー"
