0000  code046d        0, 192
000E  code048b        432, 92, 12
0022  code043e        0, 6, 0
0036  walkto          0, $h128, ($h129 + 16), 1
0056  walkwait        0
005E  code043e        0, 3, 0
0072  code0491        0
007A  setvar          0x0003, 0x0000, 1
0086  code048c        
0088  code0333        2, 30
0096  code033b        397, 0, 0, 1, 2, 2
00BC  code033e        397
00C4  code0445        0, 10
00D2  code0445        1, 2
00E0  code0446        1
00E8  code040d        5
00F0  code0334        
00F2  code0331        39, 256
0100  code0478        0, 0
010E  code0479        0, 2, 16
0122  code047d        0, 0
0130  code0478        1, 2
013E  jumpz           0x0166, ($b003 == 0)
014E  code0479        1, 5, 12
0162  goto            0x01ce

0166  jumpz           0x018e, ($b003 == 1)
0176  code0479        1, 2, 15
018A  goto            0x01ce

018E  jumpz           0x01b6, ($b003 == 2)
019E  code0479        1, 2, 14
01B2  goto            0x01ce

01B6  code0479        1, 4, 14
01CA  goto            0x01ce

01CE  code047d        1, 2
01DC  call            0x0ed0
01E0  call            0x0df8
01E4  dialogtxt       "あ、この音…"
01F4  code047b        
01F6  code0309        
01F8  call            0x0e4c
01FC  code043c        0, 4
020A  code043c        1, 2
0218  call            0x0ee6
021C  call            0x0e82
0220  jumpz           0x028c, ($b003 == 0)
0230  dialogtxt       "町ノ近クデ　何カアッタ様デス"
0250  dialogtxt       "マタ　凶暴ナハグレ召喚獣ガ"
026E  dialogtxt       "出現シタノデショウカ…"
0288  goto            0x028c

028C  jumpz           0x02f4, ($b003 == 1)
029C  dialogtxt       "近くで何かあった知らせじゃな"
02BC  dialogtxt       "また凶暴なはぐれ召喚獣でも"
02DA  dialogtxt       "出たんじゃろうか…"
02F0  goto            0x02f4

02F4  jumpz           0x034e, ($b003 == 2)
0304  dialogtxt       "ちっ…"
030E  dialogtxt       "近くで何かあった合図だな…"
032C  dialogtxt       "またタチの悪いはぐれか…？"
034A  goto            0x034e

034E  jumpz           0x03ac, ($b003 == 3)
035E  dialogtxt       "うぅ…"
0368  dialogtxt       "近くで何かあったのですわ…"
0386  dialogtxt       "またコワイはぐれでしょうか…？"
03A8  goto            0x03ac

03AC  code047b        
03AE  code0309        
03B0  call            0x0eb8
03B4  code0479        0, 0, 14
03C8  call            0x0e16
03CC  jumpz           0x03f6, ($b002 == 0)
03DC  dialogtxt       "今度は南門の方か…"
03F2  goto            0x040e

03F6  dialogtxt       "今度は南門の方…"
040A  goto            0x040e

040E  code0309        
0410  call            0x0f52
0414  call            0x0e34
0418  code047b        
041A  code043c        0, 1
0428  code043c        1, 1
0436  code040d        15
043E  code048b        528, 236, 40
0452  code048c        
0454  code040d        90
045C  code048b        432, 92, 48
0470  code048c        
0472  code040d        15
047A  code043c        0, 4
0488  code043c        1, 2
0496  code0479        0, 2, 14
04AA  jumpz           0x04d2, ($b003 == 0)
04BA  code0479        1, 0, 12
04CE  goto            0x053a

04D2  jumpz           0x04fa, ($b003 == 1)
04E2  code0479        1, 2, 14
04F6  goto            0x053a

04FA  jumpz           0x0522, ($b003 == 2)
050A  code0479        1, 2, 12
051E  goto            0x053a

0522  code0479        1, 4, 14
0536  goto            0x053a

053A  call            0x0efc
053E  call            0x0df8
0542  dialogtxt       "はぐれ召喚獣…"
0554  jumpz           0x05a0, ($b002 == 0)
0564  dialogtxt       "もしかしてまたあの連中が"
0580  dialogtxt       "出てくるかもしれないな…"
059C  goto            0x05de

05A0  dialogtxt       "もしかしてまたあの人たちが"
05BE  dialogtxt       "出てくるかもしれないね…"
05DA  goto            0x05de

05DE  code047b        
05E0  code0309        
05E2  call            0x0e4c
05E6  jumpz           0x060e, ($b003 == 0)
05F6  code0479        1, 0, 12
060A  goto            0x0676

060E  jumpz           0x0636, ($b003 == 1)
061E  code0479        1, 2, 15
0632  goto            0x0676

0636  jumpz           0x065e, ($b003 == 2)
0646  code0479        1, 2, 14
065A  goto            0x0676

065E  code0479        1, 2, 15
0672  goto            0x0676

0676  call            0x0e82
067A  jumpz           0x06e4, ($b003 == 0)
068A  dialogtxt       "敵、デスネ…"
069A  dialogtxt       "ソノ可能性ハ　高イト思ワレマス"
06BC  dialogtxt       "みゅーの様ノ元ニ　戻リマショウ！"
06E0  goto            0x06e4

06E4  jumpz           0x073c, ($b003 == 1)
06F4  dialogtxt       "敵、のことじゃな…"
070A  dialogtxt       "うむ、ミューノが心配じゃ"
0726  dialogtxt       "はやく戻るぞ！"
0738  goto            0x073c

073C  jumpz           0x078a, ($b003 == 2)
074C  dialogtxt       "敵か…"
0756  dialogtxt       "たしかにイヤな気配だ"
076E  dialogtxt       "戻らなくていいのか？"
0786  goto            0x078a

078A  jumpz           0x07e8, ($b003 == 3)
079A  dialogtxt       "て、敵のことですね…"
07B2  dialogtxt       "ミューノ様が心配です！"
07CC  dialogtxt       "はやく戻りましょう！"
07E4  goto            0x07e8

07E8  code0309        
07EA  call            0x0eb8
07EE  code0479        0, 2, 15
0802  call            0x0e16
