0000  code048b        40, 564, 24
0014  code043e        0, 6, 0
0028  walkto          0, 160, 665, 1
0042  walkwait        0
004A  walkto          0, 152, 650, 1
0064  walkwait        0
006C  code043e        0, 3, 0
0080  code043c        0, 3
008E  code0491        0
0096  setvar          0x0003, 0x0000, 3
00A2  code0445        0, 9
00B0  code0446        0
00B8  code048c        
00BA  code0478        0, 0
00C8  code0479        0, 2, 16
00DC  code047d        0, 0
00EA  code0478        1, 2
00F8  jumpz           0x0120, ($b003 == 0)
0108  code0479        1, 0, 12
011C  goto            0x0188

0120  jumpz           0x0148, ($b003 == 1)
0130  code0479        1, 2, 14
0144  goto            0x0188

0148  jumpz           0x0170, ($b003 == 2)
0158  code0479        1, 2, 12
016C  goto            0x0188

0170  code0479        1, 2, 14
0184  goto            0x0188

0188  code047d        1, 2
0196  call            0x196c
019A  call            0x1868
019E  jumpz           0x01e0, ($b002 == 0)
01AE  dialogtxt       "うわっ…！"
01BC  dialogtxt       "なんだよ？"
01CA  dialogtxt       "今度は暑いなぁ"
01DC  goto            0x020e

01E0  dialogtxt       "わっ…！"
01EC  dialogtxt       "なによ？"
01F8  dialogtxt       "今度は暑いなぁ"
020A  goto            0x020e

020E  code047b        
0210  code0309        
0212  call            0x18bc
0216  code043c        1, 2
0224  jumpz           0x024c, ($b003 == 0)
0234  code0479        1, 0, 12
0248  goto            0x02b4

024C  jumpz           0x0274, ($b003 == 1)
025C  code0479        1, 2, 16
0270  goto            0x02b4

0274  jumpz           0x029c, ($b003 == 2)
0284  code0479        1, 2, 14
0298  goto            0x02b4

029C  code0479        1, 5, 16
02B0  goto            0x02b4

02B4  call            0x18f2
02B8  jumpz           0x02f6, ($b003 == 0)
02C8  dialogtxt       "溶岩ガ流レテイルタメダト"
02E4  dialogtxt       "思ワレマス"
02F2  goto            0x02f6

02F6  jumpz           0x033a, ($b003 == 1)
0306  dialogtxt       "見てみろ"
0312  dialogtxt       "あれは溶岩じゃぞ"
0326  dialogtxt       "暑いわけじゃ"
0336  goto            0x033a

033A  jumpz           0x037e, ($b003 == 2)
034A  dialogtxt       "ちっ…"
0354  dialogtxt       "溶岩まで流れているのか"
036E  dialogtxt       "暑苦しい"
037A  goto            0x037e

037E  jumpz           0x03d4, ($b003 == 3)
038E  dialogtxt       "み、見て下さい！"
03A2  dialogtxt       "アレ、溶岩ですわ！"
03B8  dialogtxt       "これは暑いわけです…"
03D0  goto            0x03d4

03D4  code0309        
03D6  call            0x19ac
03DA  call            0x1928
03DE  code047b        
03E0  code043c        1, 3
03EE  code0478        1, 20
03FC  code0479        1, 4, 12
0410  code047d        1, 135
041E  call            0x1956
0422  call            0x18f2
0426  dialogtxt       "この程度の暑さでまいっていたら"
0448  dialogtxt       "とうてい裁きの間までは"
0462  dialogtxt       "たどりつけませんよ"
0478  code047b        
047A  code0309        
047C  code0479        1, 2, 12
0490  dialogtxt       "近ごろは遺跡を守る召喚獣も"
