0000  code0488        -1, 1
000E  jumpz           0x003a, ($f0261 == 1)
001E  setvar          0x0002, 0x0118, 2
002A  setvar          0x0002, 0x0119, 2
0036  goto            0x00ea

003A  jumpz           0x0066, ($f0262 == 1)
004A  setvar          0x0002, 0x0118, 1
0056  setvar          0x0002, 0x0119, 1
0062  goto            0x00ea

0066  jumpz           0x0092, ($f0263 == 1)
0076  setvar          0x0002, 0x0118, 3
0082  setvar          0x0002, 0x0119, 3
008E  goto            0x00ea

0092  jumpz           0x00be, ($f0265 == 1)
00A2  setvar          0x0002, 0x0118, 4
00AE  setvar          0x0002, 0x0119, 4
00BA  goto            0x00ea

00BE  jumpz           0x00ea, ($f0266 == 1)
00CE  setvar          0x0002, 0x0118, 5
00DA  setvar          0x0002, 0x0119, 5
00E6  goto            0x00ea

00EA  code0333        2, 30
00F8  code0445        0, 11
0106  code0446        0
010E  code0478        0, 0
011C  code0479        0, 5, 16
0130  code047d        0, 0
013E  call            0x1eae
0142  call            0x1dd6
0146  dialogtxt       "あれ？"
0150  code0309        
0152  call            0x1f04
0156  call            0x1e12
015A  code047b        
015C  code0334        
015E  code046e        39, 256, 2
0172  jumpz           0x01b4, ($f0264 != 1)
0182  code043e        $h217, 6, 0
0196  walkto          $h217, 128, 247, 1
01B0  goto            0x01b4

01B4  code046d        0, 192
01C2  code043e        0, 6, 0
01D6  walkto          0, 120, 192, 1
01F0  jumpz           0x023a, ($f0264 != 1)
0200  walkwait        $h217
0208  code043e        $h217, 6, 0
021C  walkto          $h217, 136, 192, 1
0236  goto            0x023a

023A  walkwait        0
0242  code043e        0, 3, 0
0256  code043c        0, 3
0264  jumpz           0x02a2, ($f0264 != 1)
0274  walkwait        $h217
027C  code043e        $h217, 3, 0
0290  code043c        $h217, 3
029E  goto            0x02a2

02A2  code0479        0, 5, 16
02B6  call            0x1eae
02BA  call            0x1dd6
02BE  dialogtxt       "みんなどうしたの？"
02D4  code0309        
02D6  call            0x1e2a
02DA  jumpz           0x0360, ($f0261 == 1)
02EA  code0478        1, 9
02F8  code0479        1, 2, 16
030C  code047d        1, 108
031A  call            0x1ec4
031E  call            0x1e60
0322  dialogtxt       "δ、ミューノ…"
0334  dialogtxt       "ウェルマンさんが"
0348  dialogtxt       "帰ってこないんだ"
035C  goto            0x0468

0360  code0478        1, 6
036E  code0479        1, 4, 16
0382  code047d        1, 107
0390  call            0x1ec4
0394  call            0x1e60
0398  jumpz           0x03b8, ($f0262 == 1)
03A8  dialogtxt       "δ、γ…"
03B4  goto            0x0440

03B8  jumpz           0x03e0, ($f0263 == 1)
03C8  dialogtxt       "δ、ヴィーさん…"
03DC  goto            0x0440

03E0  jumpz           0x03fc, ($f0264 == 1)
03F0  dialogtxt       "δ…"
03F8  goto            0x0440

03FC  jumpz           0x0426, ($f0265 == 1)
040C  dialogtxt       "δ、ジェイドさん…"
0422  goto            0x0440

0426  dialogtxt       "δ、ティエちゃん…"
043C  goto            0x0440

0440  dialogtxt       "お父さんがまだ"
0452  dialogtxt       "帰ってこないの"
0464  goto            0x0468

0468  code047b        
046A  code0309        
046C  jumpz           0x048a, ($f0264 != 1)
047C  call            0x1f04
0480  call            0x1e96
0484  code047b        
0486  goto            0x0492

048A  call            0x1e96
048E  goto            0x0492

0492  jumpz           0x04f0, ($f0261 == 1)
04A2  code0478        0, 6
04B0  code0479        0, 5, 17
04C4  code047d        0, 107
04D2  call            0x1eae
04D6  call            0x1df4
04DA  dialogtxt       "お父さんが！？"
04EC  goto            0x07ae

04F0  jumpz           0x0656, ($f0262 == 1)
0500  code0478        0, 2
050E  jumpz           0x0536, ($b003 == 0)
051E  code0479        0, 5, 12
0532  goto            0x059e

0536  jumpz           0x055e, ($b003 == 1)
0546  code0479        0, 5, 16
055A  goto            0x059e

055E  jumpz           0x0586, ($b003 == 2)
056E  code0479        0, 5, 16
0582  goto            0x059e

0586  code0479        0, 5, 16
059A  goto            0x059e

059E  code047d        0, 2
05AC  call            0x1eae
05B0  call            0x1df4
05B4  jumpz           0x05dc, ($b003 == 0)
05C4  dialogtxt       "うぇるまん様ガ…"
05D8  goto            0x05dc

05DC  jumpz           0x0604, ($b003 == 1)
05EC  dialogtxt       "ウェルマン殿が？"
0600  goto            0x0604

0604  jumpz           0x062a, ($b003 == 2)
0614  dialogtxt       "ウェルマンが？"
0626  goto            0x062a

062A  jumpz           0x0652, ($b003 == 3)
063A  dialogtxt       "ウェルマン様が？"
064E  goto            0x0652

0652  goto            0x07ae

0656  jumpz           0x06b8, ($f0263 == 1)
0666  code0478        0, 9
0674  code0479        0, 5, 16
0688  code047d        0, 108
0696  call            0x1eae
069A  call            0x1df4
069E  dialogtxt       "ウェルマンさんが？"
06B4  goto            0x07ae

06B8  jumpz           0x06fa, ($f0264 == 1)
06C8  code0479        0, 5, 16
06DC  call            0x1df4
06E0  dialogtxt       "ウェルマンさんが？"
06F6  goto            0x07ae

06FA  jumpz           0x075c, ($f0265 == 1)
070A  code0478        0, 10
0718  code0479        0, 5, 16
072C  code047d        0, 132
073A  call            0x1eae
073E  call            0x1df4
0742  dialogtxt       "ウェルマンさんが？"
0758  goto            0x07ae

075C  code0478        0, 11
076A  code0479        0, 5, 16
077E  code047d        0, 109
078C  call            0x1eae
0790  call            0x1df4
0794  dialogtxt       "ウェルマンさんが？"
07AA  goto            0x07ae

07AE  code047b        
07B0  code0309        
07B2  jumpz           0x07d0, ($f0261 != 1)
07C2  call            0x1f1a
07C6  call            0x1e2a
07CA  code047b        
07CC  goto            0x07d8

07D0  call            0x1e2a
07D4  goto            0x07d8

07D8  jumpz           0x09ec, (($f0261 == 1 || $f0262 == 1) || $f0264 == 1)
0800  jumpz           0x0848, ($f0261 != 1)
0810  code0478        1, 9
081E  code0479        1, 0, 14
0832  code047d        1, 108
0840  call            0x1ec4
0844  goto            0x0848

0848  code0479        1, 2, 14
085C  call            0x1e60
0860  dialogtxt       "まだ完全に回復してなさそうだったから"
0888  dialogtxt       "ムリさせない方が良かったんだけど"
08AC  dialogtxt       "金の派閥に呼ばれたみたいでね…"
08CE  code047b        
08D0  code0309        
08D2  call            0x1f1a
08D6  call            0x1e96
08DA  code047b        
08DC  code0478        1, 10
08EA  code0479        1, 2, 16
08FE  code047d        1, 132
090C  code0479        0, 4, 14
0920  call            0x1ec4
0924  call            0x1e60
0928  dialogtxt       "すまん…"
0934  dialogtxt       "オレがいたら止めたんだが"
0950  dialogtxt       "親方もまだ動けなくてな"
096A  code047b        
096C  code0309        
096E  call            0x1f1a
0972  call            0x1e96
0976  code047b        
0978  code0478        1, 11
0986  code0479        1, 0, 16
099A  code047d        1, 109
09A8  call            0x1ec4
09AC  call            0x1e60
09B0  dialogtxt       "まあ行き先が金の派閥なら"
09CC  dialogtxt       "そんなに心配しなくても…"
09E8  goto            0x0eec

09EC  jumpz           0x0aa4, ($f0263 == 1)
09FC  code0478        1, 10
0A0A  code0479        1, 2, 12
0A1E  code047d        1, 132
0A2C  call            0x1ec4
0A30  call            0x1e60
0A34  dialogtxt       "まだ完全に回復してなさそうだったから"
0A5C  dialogtxt       "ムリさせない方が良かったんだが"
0A7E  dialogtxt       "金の派閥に呼ばれたみたいでな…"
0AA0  goto            0x0b4e

0AA4  code0478        1, 9
0AB2  code0479        1, 2, 14
0AC6  code047d        1, 108
0AD4  call            0x1ec4
0AD8  call            0x1e60
0ADC  dialogtxt       "まだ完全に回復してなさそうだったから"
0B04  dialogtxt       "ムリさせない方が良かったんだけど"
0B28  dialogtxt       "金の派閥に呼ばれたみたいでね…"
0B4A  goto            0x0b4e

0B4E  code047b        
0B50  code0309        
0B52  call            0x1f1a
0B56  call            0x1e96
0B5A  code047b        
0B5C  code0478        1, 2
0B6A  jumpz           0x0b92, ($b003 == 0)
0B7A  code0479        1, 4, 12
0B8E  goto            0x0bfa

0B92  jumpz           0x0bba, ($b003 == 1)
0BA2  code0479        1, 2, 14
0BB6  goto            0x0bfa

0BBA  jumpz           0x0be2, ($b003 == 2)
0BCA  code0479        1, 2, 12
0BDE  goto            0x0bfa

0BE2  code0479        1, 4, 14
0BF6  goto            0x0bfa

0BFA  code047d        1, 2
0C08  call            0x1ec4
0C0C  code0479        0, 0, 14
0C20  call            0x1e60
0C24  jumpz           0x0c8e, ($b003 == 0)
0C34  dialogtxt       "私モ　ソノ時　みゅーの様ト"
0C52  dialogtxt       "出カケテイタタメ"
0C66  dialogtxt       "止メルコトガ　デキマセンデシタ…"
0C8A  goto            0x0c8e

0C8E  jumpz           0x0cfe, ($b003 == 1)
0C9E  dialogtxt       "その時ワガハイもミューノと共に"
0CC0  dialogtxt       "席を外しておっての…"
0CD8  dialogtxt       "止めることができなんだのじゃ…"
0CFA  goto            0x0cfe

0CFE  jumpz           0x0d62, ($b003 == 2)
0D0E  dialogtxt       "あの時、ミューノといっしょに"
0D2E  dialogtxt       "出かけていなければ"
0D44  dialogtxt       "力ずくで止めたのだが…"
0D5E  goto            0x0d62

0D62  jumpz           0x0dce, ($b003 == 3)
0D72  dialogtxt       "その時、私もミューノ様といっしょに"
0D98  dialogtxt       "出かけてましたから"
0DAE  dialogtxt       "止めることができなくて…"
0DCA  goto            0x0dce

0DCE  code0309        
0DD0  code047b        
0DD2  call            0x1f1a
0DD6  call            0x1e96
0DDA  code047b        
0DDC  jumpz           0x0e74, ($f0266 == 1)
0DEC  code0478        1, 10
0DFA  code0479        1, 0, 16
0E0E  code047d        1, 132
0E1C  call            0x1ec4
0E20  call            0x1e60
0E24  dialogtxt       "まあ行き先が金の派閥なら"
0E40  dialogtxt       "そんなに心配することは"
0E5A  dialogtxt       "ないかもしれんが…"
0E70  goto            0x0ee8

0E74  code0478        1, 11
0E82  code0479        1, 0, 16
0E96  code047d        1, 109
0EA4  call            0x1ec4
0EA8  call            0x1e60
0EAC  dialogtxt       "まあ行き先が金の派閥なら"
0EC8  dialogtxt       "そんなに心配しなくても…"
0EE4  goto            0x0ee8

0EE8  goto            0x0eec

0EEC  code047b        
0EEE  code0309        
0EF0  call            0x1f30
0EF4  call            0x1e7e
0EF8  code047b        
0EFA  code033a        109, 0
0F08  code040d        15
0F10  code0438        6, 150, 549, 1
0F2A  code043a        6, 6, 0
0F3E  code043d        6, 128, 280
0F52  code043c        6, 3
0F60  code043e        6, 3, 0
0F74  code046d        6, 192
0F82  code043e        6, 6, 0
0F96  walkto          6, $h128, 216, 1
0FB0  walkwait        6
0FB8  code043e        6, 3, 0
0FCC  code043c        6, 3
0FDA  code043c        0, 1
0FE8  code043c        1, 1
0FF6  code043c        3, 1
1004  code043c        2, 1
1012  code043c        4, 1
1020  code043c        5, 1
102E  code0445        0, 10
103C  code0445        1, 10
104A  code0445        3, 2
1058  code0445        2, 2
1066  code0445        4, 2
1074  code0445        5, 10
1082  code0446        0
108A  code0478        1, 6
1098  code0479        1, 5, 16
10AC  code047d        1, 107
10BA  call            0x1ec4
10BE  call            0x1e42
10C2  dialogtxt       "あ！　お父さん"
10D4  dialogtxt       "大丈夫なの？"
10E4  code047b        
10E6  code0309        
10E8  call            0x1e96
10EC  code0478        0, 19
10FA  code0479        0, 0, 14
110E  code047d        0, 129
111C  call            0x1eae
1120  call            0x1df4
1124  dialogtxt       "…"
112A  code047b        
112C  code0309        
112E  call            0x1f30
1132  call            0x1e12
1136  code047b        
1138  code043e        6, 6, 0
114C  walkto          6, 48, 216, 1
1166  code043c        0, 2
1174  code043c        1, 2
1182  code043c        3, 2
1190  code043c        2, 2
119E  code043c        4, 2
11AC  code043c        5, 2
11BA  walkwait        6
11C2  walkto          6, 48, 64, 1
11DC  code040d        15
11E4  code0445        2, 9
11F2  code0446        2
11FA  code0479        1, 2, 15
120E  call            0x1ec4
1212  call            0x1e42
1216  dialogtxt       "あ…"
121E  dialogtxt       "お父さん！"
122C  code047b        
122E  code0309        
1230  code0479        1, 4, 16
1244  dialogtxt       "あの…"
124E  dialogtxt       "すみません"
125C  code0309        
125E  call            0x1f1a
1262  call            0x1e7e
1266  code047b        
